,Name,Year,Rating,Metascore,Vote,Description,Certificate,Runtime,Genre,Director,Stars,Earning
12,Westworld,(2016– ),8.7,No metascore,"402,212","
    Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.",TV-MA,62 min,"
Drama, Mystery, Sci-Fi            ",Evan Rachel Wood,"['Jeffrey Wright', 'Ed Harris', 'Thandie Newton']",No Gross
13,Fantastic Beasts and Where to Find Them,(2016),7.3,66        ,"393,792","
    The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.",PG-13,132 min,"
Adventure, Family, Fantasy            ",David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Alison Sudol', 'Dan Fogler']",$234.04M
14,X-Men: Apocalypse,(2016),6.9,No metascore,"380,785","
    In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",PG-13,144 min,"
Action, Adventure, Sci-Fi            ",Bryan Singer,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult']",$155.44M
15,Passengers,(I) (2016),7.0,No metascore,"335,774","
    A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",PG-13,116 min,"
Drama, Romance, Sci-Fi            ",Morten Tyldum,"['Jennifer Lawrence', 'Chris Pratt', 'Michael Sheen', 'Laurence Fishburne']",$100.01M
16,10 Cloverfield Lane,(2016),7.2,76        ,"279,829","
    After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",PG-13,103 min,"
Drama, Horror, Mystery            ",Dan Trachtenberg,"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.', 'Douglas M. Griffin']",$72.08M
17,The Nice Guys,(2016),7.4,70        ,"264,994","
    In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",R,116 min,"
Action, Comedy, Crime            ",Shane Black,"['Russell Crowe', 'Ryan Gosling', 'Angourie Rice', 'Matt Bomer']",$36.26M
18,Moonlight,(I) (2016),7.4,99        ,"258,008","
    A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",R,111 min,"
Drama            ",Barry Jenkins,"['Mahershala Ali', 'Naomie Harris', 'Trevante Rhodes', 'Alex R. Hibbert']",$27.85M
19,Moana,(I) (2016),7.6,81        ,"254,382","
    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",PG,107 min,"
Animation, Adventure, Comedy            ",Ron Clements,"['John Musker', 'Don Hall', 'Chris Williams', ""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison']",$248.76M
20,The Jungle Book,(2016),7.4,77        ,"252,679","
    After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",PG,106 min,"
Adventure, Drama, Family            ",Jon Favreau,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley', 'Idris Elba']",$364.00M
21,The Accountant,(2016),7.3,No metascore,"250,530","
    As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",R,128 min,"
Action, Crime, Drama            ",Gavin O'Connor,"['Ben Affleck', 'Anna Kendrick', 'J.K. Simmons', 'Jon Bernthal']",$86.26M
22,Now You See Me 2,(2016),6.5,No metascore,"237,241","
    The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",PG-13,129 min,"
Action, Adventure, Comedy            ",Jon M. Chu,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson', 'Dave Franco']",$65.08M
23,Warcraft,(2016),6.8,No metascore,"236,469","
    As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",PG-13,123 min,"
Action, Adventure, Fantasy            ",Duncan Jones,"['Travis Fimmel', 'Paula Patton', 'Ben Foster', 'Dominic Cooper']",$47.37M
24,Manchester by the Sea,(2016),7.8,96        ,"234,837","
    A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.",R,137 min,"
Drama            ",Kenneth Lonergan,"['Casey Affleck', 'Michelle Williams', 'Kyle Chandler', 'Lucas Hedges']",$47.70M
